image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.865316,car,car,True
drive_022,2,3,0.827273,car,car,True
drive_022,3,4,0.798947,car,car,True
drive_022,4,5,0.874075,truck,bus,False
drive_022,5,2,0.88666,bus,van,False
drive_033,1,4,0.759254,car,car,True
drive_033,2,3,0.857944,car,car,True
drive_033,3,9,0.859299,car,car,True
drive_033,5,2,0.839851,truck,bus,False
drive_033,6,1,0.977966,bus,van,False
drive_033,7,11,0.905296,car,car,True
drive_033,8,12,0.948485,bus,van,False
drive_033,9,8,0.898659,car,car,True
drive_033,10,10,0.8674,car,car,True
drive_033,11,7,0.880418,car,car,True
drive_033,12,6,0.81691,car,car,True
drive_033,20,5,0.869044,car,car,True
drive_038,1,5,0.937504,truck,bus,False
drive_038,2,2,0.922616,car,car,True
drive_038,3,3,0.945285,car,car,True
drive_038,4,4,0.889387,car,car,True
drive_038,5,1,0.957452,car,car,True
drive_038,6,17,0.950955,car,car,True
drive_038,7,16,0.86315,car,car,True
drive_038,8,15,0.897826,van,truck,False
drive_038,9,9,0.890529,truck,bus,False
drive_038,10,14,0.811114,car,car,True
drive_038,11,13,0.883348,car,car,True
drive_038,12,10,0.867555,car,car,True
drive_038,13,8,0.941808,car,car,True
drive_038,14,11,0.877798,car,car,True
drive_038,15,7,0.897465,car,car,True
drive_038,16,6,0.85326,car,car,True
drive_038,17,12,0.83648,car,car,True
drive_008,1,16,0.928453,car,car,True
drive_008,2,11,0.933946,car,car,True
drive_008,3,6,0.880569,car,car,True
drive_008,4,4,0.941904,car,car,True
drive_008,5,2,0.890147,car,car,True
drive_008,7,15,0.18654,car,car,True
drive_008,8,14,0.818055,car,car,True
drive_008,9,13,0.630125,car,car,True
drive_008,10,7,0.830081,car,car,True
drive_008,17,9,0.966418,bus,van,False
drive_008,19,12,0.885079,van,truck,False
drive_008,20,3,0.934068,van,truck,False
drive_008,21,5,0.918738,van,truck,False
drive_008,22,1,0.815454,truck,bus,False
